"Mismatching new/free or malloc/delete","An object that was allocated with 'malloc' or 'new' is being freed using a mismatching 'free' or 'delete'.","warning","There is a malloc/delete mismatch between this delete[] and the corresponding [[""malloc""|""relative:///graf2d/asimage/src/TASImage.cxx:6578:31:6578:50""]].","/graf2d/asimage/src/TASImage.cxx","6593","10","6593","24"
"Mismatching new/free or malloc/delete","An object that was allocated with 'malloc' or 'new' is being freed using a mismatching 'free' or 'delete'.","warning","There is a malloc/delete mismatch between this delete[] and the corresponding [[""malloc""|""relative:///graf2d/asimage/src/TASImage.cxx:3434:28:3434:47""]].","/graf2d/asimage/src/TASImage.cxx","3445","7","3445","21"
"Mismatching new/free or malloc/delete","An object that was allocated with 'malloc' or 'new' is being freed using a mismatching 'free' or 'delete'.","warning","There is a malloc/delete mismatch between this delete[] and the corresponding [[""malloc""|""relative:///graf2d/asimage/src/TASImage.cxx:3434:28:3434:47""]].","/graf2d/asimage/src/TASImage.cxx","3456","18","3456","32"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'unsigned int' before it is converted to 'size_type'.","/hist/hist/inc/Math/WrappedMultiTF1.h","325","36","325","40"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'float' before it is converted to 'double'.","/geom/geom/src/TGeoCone.cxx","2483","25","2483","32"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'float' before it is converted to 'double'.","/geom/geom/src/TGeoCone.cxx","2489","25","2489","32"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'float' before it is converted to 'double'.","/geom/geom/src/TGeoCone.cxx","2495","25","2495","32"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'float' before it is converted to 'double'.","/geom/geom/src/TGeoCone.cxx","2501","25","2501","32"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'float' before it is converted to 'double'.","/geom/geom/src/TGeoCone.cxx","2438","25","2438","32"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'float' before it is converted to 'double'.","/geom/geom/src/TGeoCone.cxx","2444","25","2444","32"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'float' before it is converted to 'double'.","/geom/geom/src/TGeoCone.cxx","2450","25","2450","32"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'float' before it is converted to 'double'.","/geom/geom/src/TGeoCone.cxx","2456","25","2456","32"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'int' before it is converted to 'unsigned long'.","/geom/geompainter/src/TGeoChecker.cxx","1278","30","1278","36"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'unsigned int' before it is converted to 'unsigned long'.","/graf2d/asimage/src/TASImage.cxx","334","23","334","60"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'unsigned int' before it is converted to 'unsigned long'.","/graf2d/asimage/src/TASImage.cxx","304","23","304","60"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'int' before it is converted to 'size_type'.","/graf2d/gpad/src/TPad.cxx","3022","24","3022","34"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'float' before it is converted to 'Double_t'.","/graf2d/graf/src/TAttImage.cxx","336","23","336","28"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'float' before it is converted to 'Double_t'.","/graf2d/graf/src/TAttImage.cxx","367","23","367","28"
